 471: max:0.679, min:0.500, mean:0.604
 472: max:0.679, min:0.464, mean:0.601
 473: max:0.679, min:0.464, mean:0.606
 474: max:0.679, min:0.500, mean:0.612
 475: max:0.679, min:0.500, mean:0.610
 476: max:0.679, min:0.500, mean:0.608
 477: max:0.679, min:0.464, mean:0.608
 478: max:0.679, min:0.464, mean:0.602
 479: max:0.679, min:0.500, mean:0.600
 480: max:0.643, min:0.464, mean:0.600
 481: max:0.679, min:0.536, mean:0.600
 482: max:0.679, min:0.500, mean:0.599
 483: max:0.679, min:0.536, mean:0.608
 484: max:0.679, min:0.536, mean:0.605
 485: max:0.679, min:0.464, mean:0.600
 486: max:0.679, min:0.500, mean:0.604
 487: max:0.679, min:0.500, mean:0.605
 488: max:0.679, min:0.500, mean:0.599
 489: max:0.643, min:0.464, mean:0.598
 490: max:0.679, min:0.500, mean:0.603
 491: max:0.679, min:0.500, mean:0.601
 492: max:0.679, min:0.500, mean:0.602
 493: max:0.679, min:0.500, mean:0.611
 494: max:0.679, min:0.500, mean:0.607
 495: max:0.679, min:0.500, mean:0.608
 496: max:0.679, min:0.500, mean:0.606
 497: max:0.679, min:0.500, mean:0.601
 498: max:0.679, min:0.500, mean:0.601
 499: max:0.679, min:0.464, mean:0.606
 500: max:0.679, min:0.536, mean:0.610
 501: max:0.679, min:0.536, mean:0.611
 502: max:0.679, min:0.500, mean:0.613
 503: max:0.679, min:0.464, mean:0.601
 504: max:0.679, min:0.536, mean:0.601
 505: max:0.679, min:0.500, mean:0.609
 506: max:0.679, min:0.536, mean:0.618
 507: max:0.679, min:0.536, mean:0.620
 508: max:0.679, min:0.500, mean:0.613
 509: max:0.679, min:0.536, mean:0.621
 510: max:0.714, min:0.464, mean:0.624
 511: max:0.714, min:0.500, mean:0.623
 512: max:0.714, min:0.500, mean:0.624
 513: max:0.714, min:0.500, mean:0.616
 514: max:0.679, min:0.536, mean:0.621
 515: max:0.679, min:0.536, mean:0.622
 516: max:0.679, min:0.536, mean:0.619
 517: max:0.679, min:0.500, mean:0.619
 518: max:0.714, min:0.536, mean:0.619
 519: max:0.714, min:0.500, mean:0.615
 520: max:0.714, min:0.536, mean:0.615
 521: max:0.714, min:0.500, mean:0.612
 522: max:0.714, min:0.500, mean:0.620
 523: max:0.679, min:0.500, mean:0.623
 524: max:0.679, min:0.500, mean:0.636
 525: max:0.679, min:0.536, mean:0.631
 526: max:0.679, min:0.536, mean:0.627
 527: max:0.679, min:0.500, mean:0.625
 528: max:0.679, min:0.429, mean:0.620
 529: max:0.679, min:0.464, mean:0.620
 530: max:0.679, min:0.536, mean:0.632
 531: max:0.679, min:0.536, mean:0.630
 532: max:0.714, min:0.500, mean:0.630
 533: max:0.714, min:0.500, mean:0.630
 534: max:0.714, min:0.536, mean:0.629
 535: max:0.714, min:0.500, mean:0.628
 536: max:0.714, min:0.500, mean:0.634
 537: max:0.714, min:0.536, mean:0.630
 538: max:0.714, min:0.536, mean:0.635
 539: max:0.714, min:0.536, mean:0.636
 540: max:0.714, min:0.536, mean:0.632
 541: max:0.714, min:0.500, mean:0.632
 542: max:0.714, min:0.500, mean:0.640
 543: max:0.714, min:0.536, mean:0.644
 544: max:0.714, min:0.536, mean:0.653
 545: max:0.714, min:0.571, mean:0.652
 546: max:0.714, min:0.571, mean:0.651
 547: max:0.714, min:0.536, mean:0.652
 548: max:0.714, min:0.500, mean:0.656
 549: max:0.714, min:0.500, mean:0.657
 550: max:0.750, min:0.500, mean:0.656
 551: max:0.714, min:0.536, mean:0.656
 552: max:0.714, min:0.536, mean:0.660
 553: max:0.714, min:0.536, mean:0.665
 554: max:0.714, min:0.536, mean:0.663
 555: max:0.714, min:0.536, mean:0.660
 556: max:0.714, min:0.571, mean:0.664
 557: max:0.714, min:0.536, mean:0.666
